"Timestamp","Tanggal","AD ACCOUNT","AD PLATFORM","OBJECTVE","GOAL","PLATFORM DONASI","PROGRAM","SPENDING","CONVERSION VALUE","RESULT","CPR","REACH","IMPRESSION","LINK CLICK","CONTEN VIEWS","ATC","LEADS","PURCHASE","ADDS OF PAYMENT INFO","SUCCESS","WAITING","DONATE","Initiate Checkout","Column 24","DONATE 2"
"7/29/2025 9:49:42","7/1/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","550471","450000","5","110094","12258","13891","56","43","8","7","5","","","","","","",""
"7/29/2025 9:59:11","7/2/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","500676","200000","2","250338","13768","16378","56","29","5","3","2","","","","","","",""
"7/29/2025 10:13:57","7/3/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","324346","200000","2","162173","5028","16284","67","40","9","4","2","","","","","","",""
"7/29/2025 13:20:29","7/4/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","735347","400000","4","183836","17822","20574","94","66","7","5","4","","","","","","",""
"7/29/2025 13:28:34","7/5/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","190701","100000","1","190701","3397","3476","9","11","3","3","1","","","","","","",""
"7/29/2025 13:32:54","7/6/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","286718","300000","3","95572","5305","5855","21","23","4","4","3","","","","","","",""
"7/29/2025 13:52:35","7/9/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","7292","","","","","","","","","","","","","","","","",""
"7/29/2025 13:58:48","7/10/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","114397","","","","232","492","7","6","","","","","","","","","",""
"7/29/2025 14:03:45","7/20/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","162985","1000000","3","54328","2800","3397","30","26","3","3","2","","","","","","",""
"7/29/2025 14:08:33","7/21/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","128996","300000","4","32249","428","472","6","7","4","4","3","","","","","","",""
"7/29/2025 14:11:47","7/22/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","56013","","","","674","860","17","19","","","","","","","","","",""
"7/29/2025 14:16:24","7/23/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","162589","150000","4","40647","1801","2093","25","33","6","3","2","","","","","","",""
"7/29/2025 14:20:02","7/24/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","210717","100000","2","105358","3880","4883","28","40","6","4","2","","","","","","",""
"7/29/2025 14:23:45","7/25/2025","","FACEBOOK, INSTAGRAM","CONVERSION","Web Donation","","Palestine ER","244777","100000","1","244777","7041","9170","59","63","10","7","1","","","","","","",""
